offering_id,hotel,city,avg_rating,sentiment_score,pros,cons,n_reviews
AV-TGsFqRxPSIh2RmVF-,The Boxer,Boston,4.285,0.8213,"['location', 'friendly staff', 'comfortable', 'food', 'clean rooms']","['small rooms', 'broken', 'expensive', 'noisy rooms']",50
AV-TGuWBa4HuVbedGcJK,The St. Regis New York,New York,4.5294,0.8824,"['friendly staff', 'location', 'food', 'comfortable', 'view', 'clean rooms']","['small rooms', 'expensive', 'rude staff', 'broken']",51
AV-TGwK3IxWefVJwr5IJ,Kinzie Hotel,Chicago,4.438,0.8595,"['location', 'friendly staff', 'food', 'comfortable', 'clean rooms', 'view']","['noisy rooms', 'slow wifi', 'small rooms', 'broken', 'cleanliness', 'expensive']",138
AV-TGwqGIxWefVJwr5Ji,The Hotel of South Beach,Miami Beach,4.3857,0.8464,"['friendly staff', 'comfortable', 'location', 'clean rooms', 'food']","['noisy rooms', 'broken']",7
AV0IJ3wqLD2H7whiYXuf,Quality Inn,Hudson,4.0,0.75,"['food', 'clean rooms', 'friendly staff', 'comfortable', 'location']",[],3
AV0J-cFz-gnIPe8DU7eF,Embassy Suites by Hilton Boston at Logan Airport,Boston,5.0,1.0,"['clean rooms', 'friendly staff', 'food']",[],1
AV0JWKBj3D1zeR_xDTqe,"Bluegreen Parkside Williamsburg, Ascend Resort Collection",Williamsburg,4.8,0.95,[],[],1
AV0UozSd3D1zeR_xDf4b,Courtyard Austin South,Austin,5.0,1.0,"['clean rooms', 'friendly staff']",[],1
AV0XzY0D3D1zeR_xDveH,Aviator Hotel Anchorage,Anchorage,3.0,0.5,[],[],1
AV0Y-KUd3D1zeR_xD0V3,Fairfield Inn and Suites by Marriott Virginia Beach Oceanfront,Virginia Beach,4.1115,0.7779,"['food', 'friendly staff', 'location', 'clean rooms', 'comfortable', 'view']","['small rooms', 'expensive', 'noisy rooms', 'broken']",13
AV0Z9NhT-gnIPe8DVrWO,Days Inn Suites Big Spring,Big Spring,5.0,1.0,"['clean rooms', 'friendly staff']",[],2
AV0Z9NhtFcQ3k02bEj2u,Hampton Inn & Suites Big Spring,Big Spring,5.0,1.0,"['clean rooms', 'friendly staff', 'comfortable', 'food']",[],1
AV0ZF_BK3D1zeR_xD615,Doubletree by Hilton Hotel Reading,Reading,5.0,1.0,"['friendly staff', 'food', 'clean rooms', 'location', 'comfortable']",[],2
AV0aI23wFcQ3k02bEoYo,Hampton Inn Springfield South,Springfield,5.0,1.0,"['friendly staff', 'food']",[],1
AV0aKldgLD2H7whiZV4z,Lydia Johnson Inn,Hermann,4.0,0.75,"['location', 'comfortable']",[],1
AV0aVd_HLD2H7whiZf0N,Super 8 Anderson,Anderson,5.0,1.0,"['clean rooms', 'friendly staff', 'location', 'value']",[],1
AV0dLPzA3D1zeR_xEeNe,Pine Barn Inn,Danville,5.0,1.0,"['friendly staff', 'food']",[],2
